order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,75,4,40520.0,20.0
2,1,23,3,30218.35,5.0
3,1,29,4,4861.83,5.0
4,2,53,1,29550.3,5.0
5,2,86,3,19658.07,15.0
6,3,16,3,20180.87,0.0
7,4,49,3,6186.77,5.0
8,5,24,2,61484.98,0.0
9,6,38,1,45556.45,5.0
10,7,4,4,13786.06,0.0
11,7,63,1,17704.09,5.0
12,7,62,3,49282.11,20.0
13,8,99,4,9112.95,20.0
14,8,57,2,28954.69,20.0
15,8,6,1,23477.27,20.0
16,8,41,4,7195.64,5.0
17,9,80,1,49525.87,5.0
18,9,17,3,51126.99,15.0
19,9,31,3,41426.86,0.0
20,10,92,2,51582.74,0.0
21,11,1,2,61223.09,15.0
22,11,35,2,40574.09,5.0
23,12,32,4,47773.55,10.0
24,12,59,4,2005.93,5.0
25,12,23,3,30218.35,15.0
26,13,22,2,17067.94,15.0
27,13,53,3,29550.3,0.0
28,14,5,4,55145.14,15.0
29,14,65,4,25655.99,10.0
30,14,44,1,49431.27,5.0
31,14,66,3,2891.58,10.0
32,15,21,4,20716.8,15.0
33,16,7,2,35676.25,15.0
34,16,20,4,8509.0,10.0
35,16,86,3,19658.07,20.0
36,16,29,2,4861.83,20.0
37,17,63,2,17704.09,15.0
38,17,47,4,23051.77,10.0
39,17,87,2,9968.06,5.0
40,18,52,4,11464.42,20.0
41,18,3,1,4965.67,0.0
42,18,59,4,2005.93,10.0
43,19,24,2,61484.98,20.0
44,19,61,4,32317.12,0.0
45,20,95,1,7395.63,0.0
46,20,77,1,15588.88,5.0
47,20,87,3,9968.06,5.0
48,21,25,3,24414.21,5.0
49,21,16,4,20180.87,20.0
50,22,63,2,17704.09,10.0
51,22,81,4,46748.32,0.0
52,22,98,3,8416.8,20.0
53,22,16,3,20180.87,5.0
54,23,55,3,26946.51,10.0
55,24,50,4,15587.26,5.0
56,24,56,2,51601.9,0.0
57,24,6,1,23477.27,20.0
58,24,59,2,2005.93,10.0
59,25,36,2,29220.56,5.0
60,25,39,2,60636.43,5.0
61,25,61,1,32317.12,10.0
62,25,5,4,55145.14,10.0
63,26,23,2,30218.35,0.0
64,26,97,1,48283.78,5.0
65,26,61,4,32317.12,15.0
66,27,58,4,33801.25,20.0
67,27,17,1,51126.99,10.0
68,27,44,3,49431.27,15.0
69,27,41,4,7195.64,10.0
70,28,83,1,26329.7,15.0
71,28,92,4,51582.74,5.0
72,28,30,2,29540.77,5.0
73,29,100,1,47242.23,10.0
74,30,69,4,9404.11,15.0
75,31,87,4,9968.06,5.0
76,31,97,3,48283.78,0.0
77,31,82,4,60550.55,15.0
78,32,22,4,17067.94,5.0
79,32,81,3,46748.32,10.0
80,32,46,3,39469.51,20.0
81,33,18,4,39067.76,15.0
82,33,43,2,19550.36,20.0
83,34,12,1,18914.62,20.0
84,35,61,4,32317.12,15.0
85,36,70,1,1424.63,10.0
86,36,6,2,23477.27,10.0
87,36,40,4,48648.82,10.0
88,36,51,3,9186.86,0.0
89,37,44,3,49431.27,20.0
90,37,13,1,10699.88,5.0
91,37,22,4,17067.94,0.0
92,38,22,4,17067.94,10.0
93,38,48,3,55719.32,0.0
94,38,33,1,29766.53,0.0
95,39,72,3,3049.09,5.0
96,39,34,3,1627.35,20.0
97,39,23,2,30218.35,5.0
98,39,84,2,48821.23,20.0
99,40,90,4,9479.51,10.0
100,41,28,1,51188.01,0.0
101,41,77,4,15588.88,10.0
102,41,88,3,9404.09,5.0
103,42,7,2,35676.25,0.0
104,43,33,2,29766.53,10.0
105,43,53,1,29550.3,5.0
106,44,48,3,55719.32,15.0
107,44,51,2,9186.86,15.0
108,44,94,3,21142.54,5.0
109,44,97,2,48283.78,15.0
110,45,13,4,10699.88,5.0
111,46,71,4,48097.15,0.0
112,46,83,3,26329.7,0.0
113,46,63,4,17704.09,0.0
114,47,20,3,8509.0,0.0
115,48,51,4,9186.86,10.0
116,49,56,3,51601.9,0.0
117,49,66,1,2891.58,15.0
118,50,6,2,23477.27,0.0
119,50,13,3,10699.88,10.0
120,51,89,3,8490.11,15.0
121,51,32,1,47773.55,15.0
122,52,68,1,50546.01,20.0
123,52,17,3,51126.99,10.0
124,52,12,2,18914.62,5.0
125,53,21,3,20716.8,0.0
126,53,74,4,14704.14,0.0
127,53,55,2,26946.51,10.0
128,54,65,4,25655.99,0.0
129,54,17,2,51126.99,20.0
130,55,8,3,22821.11,0.0
131,56,44,2,49431.27,10.0
132,56,86,3,19658.07,10.0
133,56,25,1,24414.21,5.0
134,56,15,3,38780.21,0.0
135,57,8,2,22821.11,0.0
136,57,29,2,4861.83,10.0
137,58,100,4,47242.23,0.0
138,58,10,1,36772.23,0.0
139,58,11,2,14798.13,0.0
140,58,43,1,19550.36,5.0
141,59,21,4,20716.8,15.0
142,59,91,3,19216.8,15.0
143,59,78,3,27415.0,0.0
144,59,2,2,37058.41,0.0
145,60,64,4,47322.35,5.0
146,60,57,1,28954.69,5.0
147,60,43,4,19550.36,5.0
148,61,5,3,55145.14,0.0
149,61,45,3,13140.29,20.0
150,61,85,1,29027.72,10.0
151,61,65,3,25655.99,0.0
152,62,26,2,44612.14,15.0
153,62,4,3,13786.06,20.0
154,63,42,4,17365.38,15.0
155,63,59,2,2005.93,10.0
156,63,83,2,26329.7,0.0
157,63,35,4,40574.09,20.0
158,64,36,1,29220.56,20.0
159,64,74,1,14704.14,10.0
160,64,5,2,55145.14,20.0
161,64,26,3,44612.14,20.0
162,65,86,4,19658.07,15.0
163,65,81,4,46748.32,10.0
164,65,85,4,29027.72,15.0
165,66,18,2,39067.76,5.0
166,66,57,4,28954.69,20.0
167,66,74,1,14704.14,5.0
168,67,20,4,8509.0,5.0
169,67,12,3,18914.62,15.0
170,67,77,3,15588.88,5.0
171,67,18,3,39067.76,10.0
172,68,85,4,29027.72,10.0
173,68,39,2,60636.43,20.0
174,68,67,3,44330.85,5.0
175,69,84,3,48821.23,10.0
176,69,26,1,44612.14,15.0
177,70,17,1,51126.99,20.0
178,70,34,3,1627.35,5.0
179,70,52,4,11464.42,0.0
180,70,71,4,48097.15,5.0
181,71,100,4,47242.23,5.0
182,71,43,2,19550.36,15.0
183,72,40,1,48648.82,20.0
184,72,34,1,1627.35,10.0
185,72,14,4,18638.1,5.0
186,73,9,4,6781.71,20.0
187,73,80,2,49525.87,0.0
188,74,54,4,14466.19,15.0
189,74,15,2,38780.21,20.0
190,75,35,2,40574.09,5.0
191,75,15,2,38780.21,0.0
192,75,43,2,19550.36,5.0
193,75,59,2,2005.93,15.0
194,76,69,2,9404.11,20.0
195,76,73,1,1218.25,5.0
196,77,33,4,29766.53,5.0
197,77,69,2,9404.11,0.0
198,77,5,3,55145.14,15.0
199,77,62,4,49282.11,15.0
200,78,67,4,44330.85,5.0
201,79,91,3,19216.8,15.0
202,79,42,3,17365.38,15.0
203,80,29,3,4861.83,5.0
204,80,63,2,17704.09,20.0
205,80,88,2,9404.09,15.0
206,80,92,1,51582.74,0.0
207,81,14,1,18638.1,10.0
208,81,90,2,9479.51,15.0
209,81,78,1,27415.0,20.0
210,81,49,1,6186.77,5.0
211,82,49,3,6186.77,10.0
212,82,15,1,38780.21,15.0
213,82,100,3,47242.23,15.0
214,83,26,1,44612.14,5.0
215,83,74,3,14704.14,20.0
216,84,22,4,17067.94,15.0
217,85,19,3,5338.31,0.0
218,85,94,1,21142.54,0.0
219,85,28,2,51188.01,10.0
220,85,76,2,22659.67,20.0
221,86,57,2,28954.69,5.0
222,87,46,2,39469.51,5.0
223,87,95,2,7395.63,5.0
224,87,12,2,18914.62,15.0
225,87,1,1,61223.09,0.0
226,88,21,3,20716.8,0.0
227,88,67,1,44330.85,10.0
228,88,26,2,44612.14,15.0
229,89,16,3,20180.87,20.0
230,89,35,4,40574.09,5.0
231,89,17,1,51126.99,15.0
232,90,33,2,29766.53,10.0
233,90,59,2,2005.93,0.0
234,90,19,1,5338.31,20.0
235,91,5,4,55145.14,5.0
236,91,15,4,38780.21,10.0
237,92,1,4,61223.09,20.0
238,92,3,2,4965.67,20.0
239,92,77,3,15588.88,20.0
240,92,93,1,35451.03,15.0
241,93,36,1,29220.56,10.0
242,94,32,3,47773.55,20.0
243,94,37,2,4157.84,5.0
244,94,64,1,47322.35,20.0
245,94,43,4,19550.36,0.0
246,95,13,2,10699.88,20.0
247,96,82,1,60550.55,15.0
248,97,48,1,55719.32,20.0
249,97,96,2,36347.49,5.0
250,98,66,1,2891.58,10.0
251,98,45,3,13140.29,15.0
252,98,53,4,29550.3,0.0
253,99,53,2,29550.3,0.0
254,99,61,1,32317.12,0.0
255,99,18,3,39067.76,15.0
256,99,91,3,19216.8,0.0
257,100,11,4,14798.13,15.0
258,101,6,1,23477.27,15.0
259,101,32,2,47773.55,0.0
260,102,38,3,45556.45,20.0
261,102,51,4,9186.86,5.0
262,102,66,4,2891.58,15.0
263,102,10,1,36772.23,0.0
264,103,21,4,20716.8,0.0
265,103,53,1,29550.3,0.0
266,103,10,2,36772.23,5.0
267,103,45,4,13140.29,5.0
268,104,89,2,8490.11,20.0
269,105,86,3,19658.07,5.0
270,105,15,4,38780.21,15.0
271,105,63,4,17704.09,5.0
272,105,81,4,46748.32,5.0
273,106,36,4,29220.56,20.0
274,106,86,2,19658.07,5.0
275,107,3,3,4965.67,5.0
276,108,62,2,49282.11,20.0
277,108,51,3,9186.86,5.0
278,108,63,1,17704.09,0.0
279,108,17,2,51126.99,10.0
280,109,46,1,39469.51,10.0
281,109,59,3,2005.93,5.0
282,109,16,2,20180.87,0.0
283,109,77,1,15588.88,20.0
284,110,20,3,8509.0,10.0
285,110,18,3,39067.76,10.0
286,110,48,2,55719.32,5.0
287,111,43,2,19550.36,15.0
288,112,29,4,4861.83,20.0
289,113,30,3,29540.77,5.0
290,113,14,2,18638.1,20.0
291,113,20,4,8509.0,10.0
292,113,100,4,47242.23,5.0
293,114,84,2,48821.23,5.0
294,114,38,1,45556.45,15.0
295,115,75,1,40520.0,20.0
296,115,37,3,4157.84,10.0
297,116,60,2,6814.56,10.0
298,117,56,3,51601.9,5.0
299,118,98,3,8416.8,15.0
300,119,89,2,8490.11,5.0
301,119,66,3,2891.58,0.0
302,119,46,1,39469.51,15.0
303,119,14,2,18638.1,20.0
304,120,55,2,26946.51,20.0
305,120,35,2,40574.09,5.0
306,120,30,3,29540.77,0.0
307,120,33,2,29766.53,0.0
308,121,75,3,40520.0,0.0
309,121,91,3,19216.8,20.0
310,121,62,1,49282.11,0.0
311,121,25,4,24414.21,0.0
312,122,35,1,40574.09,0.0
313,122,50,1,15587.26,20.0
314,122,87,3,9968.06,15.0
315,123,86,3,19658.07,15.0
316,124,55,3,26946.51,5.0
317,124,70,4,1424.63,15.0
318,125,96,1,36347.49,5.0
319,125,45,3,13140.29,10.0
320,125,71,4,48097.15,15.0
321,126,43,2,19550.36,10.0
322,126,62,3,49282.11,0.0
323,127,24,1,61484.98,10.0
324,127,63,3,17704.09,10.0
325,127,56,4,51601.9,10.0
326,127,68,2,50546.01,0.0
327,128,89,3,8490.11,10.0
328,128,46,2,39469.51,10.0
